name	backbone	sample	gated	self_consistent	rmsd_to_design	tm_score	coverage	mean_plddt	min_plddt	mpnn_score	dsasa	contacts	hotspots	rg_ratio	net_charge	hotspot_hydrophobic_frac	eka_frac	length
design_12_s6	design_12	6	True	True	0.77	0.92	1	90.7	79	1.181	402.1	8	6	1.29	-4	0.455	0.6667	57
design_12_s2	design_12	2	True	True	0.95	0.901	1	89.8	77	1.046	402.1	8	6	1.29	2	0.545	0.7018	57
design_11_s7	design_11	7	True	True	0.42	0.976	1	89.1	80	1.224	401.8	11	6	1.3	2	0.7	0.7667	60
design_11_s8	design_11	8	True	True	0.46	0.97	1	92.2	83	1.2	401.8	11	6	1.3	2	0.7	0.7833	60
design_11_s1	design_11	1	True	True	0.53	0.964	1	87.2	78	1.15	401.8	11	6	1.3	2	0.8	0.7833	60
design_11_s4	design_11	4	True	True	0.54	0.962	1	90.4	81	1.173	401.8	11	6	1.3	2	0.7	0.8	60
design_11_s5	design_11	5	True	True	0.55	0.96	1	90.3	79	1.18	401.8	11	6	1.3	-6	0.7	0.8	60
design_11_s3	design_11	3	True	True	0.94	0.903	1	90	78	1.117	401.8	11	6	1.3	1	0.7	0.7833	60
design_4_s5	design_4	5	True	True	0.47	0.969	1	91.2	78	1.046	385	11	6	1.27	-3	0.429	0.5862	58
design_4_s7	design_4	7	True	True	0.53	0.96	1	91.4	79	0.9909	385	11	6	1.27	2	0.429	0.6897	58
design_4_s4	design_4	4	True	True	0.56	0.956	1	91.2	77	1.015	385	11	6	1.27	-3	0.571	0.6034	58
design_4_s2	design_4	2	True	True	0.57	0.955	1	89.2	77	0.9779	385	11	6	1.27	3	0.429	0.6552	58
design_4_s6	design_4	6	True	True	0.58	0.954	1	91.4	76	0.9893	385	11	6	1.27	0	0.429	0.6552	58
design_4_s1	design_4	1	True	True	0.64	0.943	1	89.9	76	1.048	385	11	6	1.27	-1	0.429	0.6379	58
design_4_s8	design_4	8	True	True	0.72	0.936	1	90.9	73	0.9955	385	11	6	1.27	-4	0.429	0.6379	58
design_4_s3	design_4	3	True	True	0.8	0.921	1	90.9	74	0.9838	385	11	6	1.27	-3	0.571	0.6379	58
design_9_s4	design_9	4	True	True	0.71	0.935	1	86.8	76	1.117	369.5	8	6	1.34	0	0.6	0.65	60
design_9_s1	design_9	1	True	True	0.71	0.933	1	87.9	79	1.191	369.5	8	6	1.34	-1	0.5	0.6	60
design_9_s5	design_9	5	True	True	0.72	0.933	1	87.9	76	1.139	369.5	8	6	1.34	-1	0.6	0.6167	60
design_9_s3	design_9	3	True	True	0.77	0.925	1	92.6	83	1.168	369.5	8	6	1.34	0	0.7	0.65	60
design_9_s7	design_9	7	True	True	0.79	0.921	1	88.8	74	1.113	369.5	8	6	1.34	0	0.6	0.6667	60
design_9_s8	design_9	8	True	True	0.94	0.902	1	90.7	79	1.118	369.5	8	6	1.34	-3	0.6	0.65	60
design_5_s7	design_5	7	False	True	0.48	0.961	1	78.5	63	1.033	469	12	6	1.29	-3	0.462	0.75	52
design_5_s5	design_5	5	False	False	0.54	0.554	0.577	90	82	1.105	469	12	6	1.29	-2	0.538	0.6538	52
design_5_s4	design_5	4	False	False	0.55	0.553	0.577	88.5	79	1.126	469	12	6	1.29	-1	0.615	0.6731	52
design_5_s3	design_5	3	False	False	0.57	0.55	0.577	88.5	80	1.103	469	12	6	1.29	-3	0.615	0.6731	52
design_5_s8	design_5	8	False	True	0.99	0.866	1	87	74	1.058	469	12	6	1.29	-3	0.538	0.7115	52
design_5_s6	design_5	6	False	False	1.54	0.651	0.731	79.8	61	1.188	469	12	6	1.29	1	0.615	0.5962	52
design_5_s1	design_5	1	False	False	2.1	0.642	0.846	77.5	60	1.103	469	12	6	1.29	-1	0.615	0.6346	52
design_18_s3	design_18	3	False	True	0.91	0.885	1	86.3	80	1.079	448.3	9	6	1.28	1	0.583	0.7273	55
design_18_s2	design_18	2	False	True	1.1	0.843	1	88.7	81	1.097	448.3	9	6	1.28	-2	0.667	0.7273	55
design_18_s1	design_18	1	False	True	1.5	0.732	0.927	81.7	69	1.132	448.3	9	6	1.28	1	0.667	0.7636	55
design_18_s8	design_18	8	False	True	1.79	0.709	1	78.5	64	1.09	448.3	9	6	1.28	-4	0.667	0.7636	55
design_15_s1	design_15	1	False	True	1.5	0.758	1	85.1	75	1.029	406.3	9	6	1.29	1	0.4	0.6786	56
design_15_s8	design_15	8	False	True	1.53	0.743	1	89	77	1.063	406.3	9	6	1.29	-6	0.4	0.6786	56
design_15_s3	design_15	3	False	True	1.59	0.743	1	80.6	60	0.9628	406.3	9	6	1.29	1	0.5	0.6964	56
design_15_s4	design_15	4	False	True	1.65	0.714	1	89.3	80	0.9566	406.3	9	6	1.29	-3	0.4	0.6786	56
design_14_s4	design_14	4	False	True	0.77	0.921	1	92.2	67	0.9864	404.3	10	6	1.06	3	0.667	0.6316	57
design_14_s3	design_14	3	False	True	1.01	0.906	1	91.2	74	1.089	404.3	10	6	1.06	4	0.583	0.6842	57
design_14_s5	design_14	5	False	True	1.09	0.886	1	92.3	81	1.015	404.3	10	6	1.06	-7	0.667	0.614	57
design_12_s5	design_12	5	False	True	0.93	0.892	1	90.3	81	1.175	402.1	8	6	1.29	-2	0.636	0.7018	57
design_11_s2	design_11	2	False	True	0.72	0.937	1	80.2	73	1.179	401.8	11	6	1.3	2	0.7	0.7833	60
design_11_s6	design_11	6	False	False	2.54	0.581	0.75	76	63	1.225	401.8	11	6	1.3	0	0.6	0.7833	60
design_9_s6	design_9	6	False	True	0.97	0.886	1	91.1	80	1.092	369.5	8	6	1.34	0	0.6	0.5833	60
design_9_s2	design_9	2	False	True	0.99	0.895	1	82.7	70	1.071	369.5	8	6	1.34	2	0.6	0.65	60
